timestamp,APPversion,rawstack
2026-05-22T12:57:01.525Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3]  at :0
  [4] QComboBox::textActivated(QString const&) at :0
  [5]  at :0
  [6]  at :0
  [7]  at :0
  [8] QComboBoxPrivateContainer::itemSelected(QModelIndex const&) at :0
  [9] QComboBoxPrivateContainer::eventFilter(QObject*, QEvent*) at :0
  [10] QCoreApplicationPrivate::sendThroughObjectEventFilters(QObject*, QEvent*) at :0
  [11] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [12] QApplication::notify(QObject*, QEvent*) at :0
  [13] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [14] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [15] QApplicationPrivate::sendMouseEvent(QWidget*, QMouseEvent*, QWidget*, QWidget*, QWidget**, QPointer<QWidget>&, bool, bool) at :0
  [16]  at :0
  [17]  at :0
  [18] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [19] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [20] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [21] QGuiApplicationPrivate::processMouseEvent(QWindowSystemInterfacePrivate::MouseEvent*) at :0
  [22] QWindowSystemInterface::sendWindowSystemEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [23]  at :0
  [24] g_main_context_dispatch at :0
  [25] g_main_context_iterate.isra.20 at :0
  [26] g_main_context_iteration at :0
  [27] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [28] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [29] QCoreApplication::exec() at :0
  [30] main at ResInsight/ApplicationExeCode/RiaMain.cpp:226
  [31] __libc_start_main at :0
  [32] _start at :0
  [33]  at :0
"
2026-05-22T12:52:15.394Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] QObjectPrivate::maybeSignalConnected(unsigned int) const at :0
  [4]  at :0
  [5] QComboBox::textActivated(QString const&) at :0
  [6]  at :0
  [7]  at :0
  [8]  at :0
  [9] QComboBoxPrivateContainer::itemSelected(QModelIndex const&) at :0
  [10] QComboBoxPrivateContainer::eventFilter(QObject*, QEvent*) at :0
  [11] QCoreApplicationPrivate::sendThroughObjectEventFilters(QObject*, QEvent*) at :0
  [12] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [13] QApplication::notify(QObject*, QEvent*) at :0
  [14] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [15] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [16] QApplicationPrivate::sendMouseEvent(QWidget*, QMouseEvent*, QWidget*, QWidget*, QWidget**, QPointer<QWidget>&, bool, bool) at :0
  [17]  at :0
  [18]  at :0
  [19] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [20] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [21] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [22] QGuiApplicationPrivate::processMouseEvent(QWindowSystemInterfacePrivate::MouseEvent*) at :0
  [23] QWindowSystemInterface::sendWindowSystemEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [24]  at :0
  [25] g_main_context_dispatch at :0
  [26] g_main_context_iterate.isra.20 at :0
  [27] g_main_context_iteration at :0
  [28] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [29] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [30] QCoreApplication::exec() at :0
  [31] main at ResInsight/ApplicationExeCode/RiaMain.cpp:226
  [32] __libc_start_main at :0
  [33] _start at :0
  [34]  at :0
"
2026-05-22T12:34:32.68Z,2026.02.3-dev.01,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __libc_poll at :0
  [4] g_main_context_iterate.isra.20 at :0
  [5] g_main_context_iteration at :0
  [6] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [7] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [8] QCoreApplication::exec() at :0
  [9] main at ResInsight/ApplicationExeCode/RiaMain.cpp:226
  [10] __libc_start_main at :0
  [11] _start at :0
  [12]  at :0
"
2026-05-22T11:05:16.226Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] __gnu_cxx::__verbose_terminate_handler() [clone .cold.1] at :0
  [6]  at :0
  [7]  at :0
  [8] __cxxabiv1::__terminate(void (*)()) at :0
  [9] std::terminate() at :0
  [10] __cxa_rethrow at :0
  [11] main at ResInsight/ApplicationExeCode/RiaMain.cpp:232
  [12] __libc_start_main at :0
  [13] _start at :0
  [14]  at :0
"
2026-05-22T10:49:44.2Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] RigFemPartResultsCollection::stepListIndexToTimeStepAndDataFrameIndex(int) const at ResInsight/ApplicationLibCode/GeoMech/GeoMechDataModel/RigFemPartResultsCollection.cpp:999
  [4] RimGeoMechView::onClampCurrentTimestep() at ResInsight/ApplicationLibCode/ProjectDataModel/GeoMech/RimGeoMechView.cpp:817
  [5] Rim3dView::createDisplayModelAndRedraw() at ResInsight/ApplicationLibCode/ProjectDataModel/Rim3dView.cpp:714
  [6] RiaViewRedrawScheduler::updateAndRedrawScheduledViews() at ResInsight/ApplicationLibCode/Application/RiaViewRedrawScheduler.cpp:93
  [7]  at :0
  [8] QTimer::timeout(QTimer::QPrivateSignal) at :0
  [9] QObject::event(QEvent*) at :0
  [10] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [11] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [12] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [13] QTimerInfoList::activateTimers() at :0
  [14]  at :0
  [15] g_main_context_dispatch at :0
  [16] g_main_context_iterate.isra.20 at :0
  [17] g_main_context_iteration at :0
  [18] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [19] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [20] QCoreApplication::exec() at :0
  [21] main at ResInsight/ApplicationExeCode/RiaMain.cpp:226
  [22] __libc_start_main at :0
  [23] _start at :0
  [24]  at :0
"
2026-05-22T10:47:01.455Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] __gnu_cxx::__verbose_terminate_handler() [clone .cold.1] at :0
  [6]  at :0
  [7]  at :0
  [8] __cxxabiv1::__terminate(void (*)()) at :0
  [9] std::terminate() at :0
  [10] __cxa_rethrow at :0
  [11] main at ResInsight/ApplicationExeCode/RiaMain.cpp:232
  [12] __libc_start_main at :0
  [13] _start at :0
  [14]  at :0
"
2026-05-21T16:38:21.375Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] ecl_kw_get_data_type at ResInsight/ThirdParty/Ert/lib/ecl/ecl_kw.cpp:1776
  [4] ecl_file_kw_assert_kw at ResInsight/ThirdParty/Ert/lib/ecl/ecl_file_kw.cpp:211
  [5] ecl_file_kw_load_kw at ResInsight/ThirdParty/Ert/lib/ecl/ecl_file_kw.cpp:244
  [6] ecl_file_view_get_kw at ResInsight/ThirdParty/Ert/lib/ecl/ecl_file_view.cpp:149
  [7] RifEclipseOutputFileTools::keywordData(ecl_file_struct const*, QString const&, unsigned long, std::vector<double, std::allocator<double> >*) at ResInsight/ApplicationLibCode/FileInterface/RifEclipseOutputFileTools.cpp:305
  [8] RifEclipseUnifiedRestartFileAccess::results(QString const&, unsigned long, unsigned long, std::vector<double, std::allocator<double> >*) at ResInsight/ApplicationLibCode/FileInterface/RifEclipseUnifiedRestartFileAccess.cpp:248
  [9] RifReaderEclipseOutput::dynamicResult(QString const&, RiaDefines::PorosityModelType, unsigned long, std::vector<double, std::allocator<double> >*) at ResInsight/ApplicationLibCode/FileInterface/RifReaderEclipseOutput.cpp:1070
  [10] RigCaseCellResultsData::findOrLoadKnownScalarResult(RigEclipseResultAddress const&) at ResInsight/ApplicationLibCode/ReservoirDataModel/RigCaseCellResultsData.cpp:1538
  [11] RigCaseCellResultsData::ensureKnownResultLoaded(RigEclipseResultAddress const&) at ResInsight/ApplicationLibCode/ReservoirDataModel/RigCaseCellResultsData.cpp:1264
  [12] RimEclipseResultDefinition::loadResult() at ResInsight/ApplicationLibCode/ProjectDataModel/RimEclipseResultDefinition.cpp:1134
  [13] RimEclipseCellColors::loadResult() at ResInsight/ApplicationLibCode/ProjectDataModel/RimEclipseCellColors.cpp:260
  [14] RimEclipseResultDefinition::loadDataAndUpdate() at ResInsight/ApplicationLibCode/ProjectDataModel/RimEclipseResultDefinition.cpp:533
  [15] RimEclipseResultDefinition::fieldChangedByUi(caf::PdmFieldHandle const*, QVariant const&, QVariant const&) at ResInsight/ApplicationLibCode/ProjectDataModel/RimEclipseResultDefinition.cpp:305
  [16] RimEclipseCellColors::fieldChangedByUi(caf::PdmFieldHandle const*, QVariant const&, QVariant const&) at ResInsight/ApplicationLibCode/ProjectDataModel/RimEclipseCellColors.cpp:90
  [17] caf::PdmUiFieldHandle::notifyFieldChanged(QVariant const&, QVariant const&) at ResInsight/Fwk/AppFwk/cafProjectDataModel/cafPdmUiCore/cafPdmUiFieldHandle.cpp:74
  [18] caf::PdmFieldUiCap<caf::PdmField<QString> >::setValueFromUiEditor(QVariant const&, bool) at ResInsight/Fwk/AppFwk/cafProjectDataModel/cafPdmUiCore/cafInternalPdmUiFieldCapability.inl:110
  [19] caf::PdmUiCommandSystemProxy::setUiValueToField(caf::PdmUiFieldHandle*, QVariant const&) at ResInsight/Fwk/AppFwk/cafProjectDataModel/cafPdmUiCore/cafPdmUiCommandSystemProxy.cpp:122
  [20] caf::PdmUiTreeSelectionQModel::setData(QModelIndex const&, QVariant const&, int) at ResInsight/Fwk/AppFwk/cafUserInterface/cafPdmUiTreeSelectionQModel.cpp:482
  [21] QSortFilterProxyModel::setData(QModelIndex const&, QVariant const&, int) at :0
  [22] caf::PdmUiTreeSelectionEditor::currentChanged(QModelIndex const&) at ResInsight/Fwk/AppFwk/cafUserInterface/cafPdmUiTreeSelectionEditor.cpp:812
  [23] caf::PdmUiTreeSelectionEditor::slotClicked(QModelIndex const&) at ResInsight/Fwk/AppFwk/cafUserInterface/cafPdmUiTreeSelectionEditor.cpp:759
  [24]  at :0
  [25] QAbstractItemView::clicked(QModelIndex const&) at :0
  [26] QAbstractItemView::mouseReleaseEvent(QMouseEvent*) at :0
  [27] QWidget::event(QEvent*) at :0
  [28] QFrame::event(QEvent*) at :0
  [29] QCoreApplicationPrivate::sendThroughObjectEventFilters(QObject*, QEvent*) at :0
  [30] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [31] QApplication::notify(QObject*, QEvent*) at :0
  [32] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [33] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [34] QApplicationPrivate::sendMouseEvent(QWidget*, QMouseEvent*, QWidget*, QWidget*, QWidget**, QPointer<QWidget>&, bool, bool) at :0
  [35]  at :0
  [36]  at :0
  [37] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [38] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [39] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [40] QGuiApplicationPrivate::processMouseEvent(QWindowSystemInterfacePrivate::MouseEvent*) at :0
  [41] QWindowSystemInterface::sendWindowSystemEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [42]  at :0
  [43] g_main_context_dispatch at :0
  [44] g_main_context_iterate.isra.20 at :0
  [45] g_main_context_iteration at :0
  [46] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [47] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [48] QCoreApplication::exec() at :0
  [49] main at ResInsight/ApplicationExeCode/RiaMain.cpp:226
  [50] __libc_start_main at :0
  [51] _start at :0
  [52]  at :0
"
2026-05-21T13:25:29.283Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] __gnu_cxx::__verbose_terminate_handler() [clone .cold.1] at :0
  [6]  at :0
  [7]  at :0
  [8] __cxxabiv1::__terminate(void (*)()) at :0
  [9] std::terminate() at :0
  [10] __cxa_rethrow at :0
  [11] main at ResInsight/ApplicationExeCode/RiaMain.cpp:232
  [12] __libc_start_main at :0
  [13] _start at :0
  [14]  at :0
"
2026-05-21T12:17:08.955Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3]  at :0
  [4] QComboBox::textActivated(QString const&) at :0
  [5]  at :0
  [6]  at :0
  [7]  at :0
  [8] QComboBoxPrivateContainer::itemSelected(QModelIndex const&) at :0
  [9] QComboBoxPrivateContainer::eventFilter(QObject*, QEvent*) at :0
  [10] QCoreApplicationPrivate::sendThroughObjectEventFilters(QObject*, QEvent*) at :0
  [11] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [12] QApplication::notify(QObject*, QEvent*) at :0
  [13] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [14] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [15] QApplicationPrivate::sendMouseEvent(QWidget*, QMouseEvent*, QWidget*, QWidget*, QWidget**, QPointer<QWidget>&, bool, bool) at :0
  [16]  at :0
  [17]  at :0
  [18] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [19] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [20] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [21] QGuiApplicationPrivate::processMouseEvent(QWindowSystemInterfacePrivate::MouseEvent*) at :0
  [22] QWindowSystemInterface::sendWindowSystemEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [23]  at :0
  [24] g_main_context_dispatch at :0
  [25] g_main_context_iterate.isra.20 at :0
  [26] g_main_context_iteration at :0
  [27] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [28] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [29] QCoreApplication::exec() at :0
  [30] main at ResInsight/ApplicationExeCode/RiaMain.cpp:226
  [31] __libc_start_main at :0
  [32] _start at :0
  [33]  at :0
"
2026-05-21T12:04:19.478Z,2026.02.2,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3]  at :0
  [4] QComboBox::textActivated(QString const&) at :0
  [5]  at :0
  [6]  at :0
  [7]  at :0
  [8] QComboBoxPrivateContainer::itemSelected(QModelIndex const&) at :0
  [9] QComboBoxPrivateContainer::eventFilter(QObject*, QEvent*) at :0
  [10] QCoreApplicationPrivate::sendThroughObjectEventFilters(QObject*, QEvent*) at :0
  [11] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [12] QApplication::notify(QObject*, QEvent*) at :0
  [13] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [14] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [15] QApplicationPrivate::sendMouseEvent(QWidget*, QMouseEvent*, QWidget*, QWidget*, QWidget**, QPointer<QWidget>&, bool, bool) at :0
  [16]  at :0
  [17]  at :0
  [18] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [19] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1823
  [20] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [21] QGuiApplicationPrivate::processMouseEvent(QWindowSystemInterfacePrivate::MouseEvent*) at :0
  [22] QWindowSystemInterface::sendWindowSystemEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [23]  at :0
  [24] g_main_context_dispatch at :0
  [25] g_main_context_iterate.isra.20 at :0
  [26] g_main_context_iteration at :0
  [27] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [28] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [29] QCoreApplication::exec() at :0
  [30] main at ResInsight/ApplicationExeCode/RiaMain.cpp:226
  [31] __libc_start_main at :0
  [32] _start at :0
  [33]  at :0
"
